_id,add_date,collection_date.has_raw_value,community,depth.has_numeric_value,depth.has_raw_value,depth.has_unit,depth2.has_numeric_value,depth2.has_raw_value,depth2.has_unit,description,ecosystem,ecosystem_category,ecosystem_subtype,ecosystem_type,env_broad_scale.has_raw_value,env_local_scale.has_raw_value,env_medium.has_raw_value,geo_loc_name.has_raw_value,habitat,host_name,id,identifier,lat_lon.has_raw_value,lat_lon.latitude,lat_lon.longitude,location,mod_date,name,ncbi_taxonomy_name,nitrate.has_raw_value,nitrate.has_unit,part_of,salinity.has_raw_value,sample_collection_site,specific_ecosystem,temp.has_numeric_value,temp.has_raw_value,temp.has_unit,type
60e840cde9822b255ad942ee,2015-05-28,2014-09-23,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T2.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115217,GW-RW T2_23-Sept-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T2_23-Sept-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
60e840cde9822b255ad942ef,2015-05-28,2014-11-25,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T2.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115218,GW-RW T2_25-Nov-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T2_25-Nov-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
60e840cde9822b255ad942f0,2015-05-28,2014-04-30,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T2.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115219,GW-RW T2_30-Apr-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T2_30-Apr-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
60e840cde9822b255ad942f1,2015-05-28,2014-09-23,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T3.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115220,GW-RW T3_23-Sept-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T3_23-Sept-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
60e840cde9822b255ad942f2,2015-05-28,2014-11-25,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T3.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115221,GW-RW T3_25-Nov-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T3_25-Nov-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
60e840cde9822b255ad942f3,2015-05-28,2014-04-30,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T3.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115222,GW-RW T3_30-Apr-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T3_30-Apr-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
60e840cde9822b255ad942f4,2015-05-28,2014-07-01,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T4.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115223,GW-RW T4_1-July-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_1-July-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
60e840cde9822b255ad942f5,2015-05-28,2014-06-10,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T4.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115224,GW-RW T4_10-June-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_10-June-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
60e840cde9822b255ad942f6,2015-05-28,2014-08-12,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T4.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115225,GW-RW T4_12-Aug-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_12-Aug-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
60e840cde9822b255ad942f7,2015-05-28,2014-10-14,microbial communities,0.5,0.5,meter,1,1.0,meter,Sterilized sand packs were incubated back in the ground and collected at time point T4.,Engineered,Artificial ecosystem,Unclassified,Sand microcosm,ENVO:01000253,ENVO:01000621,ENVO:01000017,"USA: Columbia River, Washington",sand microcosm,,gold:Gb0115226,GW-RW T4_14-Oct-14,46.37228379 -119.2717467,46.37228379,-119.2717467,"groundwater-surface water interaction zone in Washington, USA",2021-06-17,"Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_14-Oct-14",sediment metagenome,,,"[""gold:Gs0114663""]",,sand microcosm,Unclassified,,,,nmdc:Biosample
